ID,Group,Prt_Exclude,Sequence,Seq_Exclude,Bag_Origin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3150,NT,n,5,n,1.0,"(1, 0.754)","(1, 0.764)","(1, 0.8370000000000001)","(1, 0.966)","(1, 0.9079999999999999)","(0, 0.171)","(0, 0.233)","(0, 0.146)","(1, 0.805)","(1, 0.8759999999999999)","(1, 0.784)","(1, 0.807)","(1, 0.816)","(1, 0.799)","(0, 0.19899999999999998)","(0, 0.233)","(0, 0.10099999999999999)","(0, 0.22699999999999998)","(0, 0.21)","(0, 0.156)"
3282,NT,n,1,n,0.0,"(1, 0.625)","(0, 0.358)","(0, 0.218)","(0, 0.19899999999999998)","(0, 0.221)","(0, 0.223)","(0, 0.128)","(0, 0.214)","(0, 0.188)","(0, 0.051)","(0, 0.10300000000000001)","(0, 0.10300000000000001)","(0, 0.133)","(0, 0.034)","(1, 0.715)","(0, 0.696)","(1, 0.687)","(0, 0.29100000000000004)","(0, 0.257)","(0, 0.332)"
3282,NT,n,2,n,1.0,"(1, 0.6679999999999999)","(1, 0.6659999999999999)","(1, 0.634)","(1, 0.8220000000000001)","(1, 0.799)","(1, 0.7859999999999999)","(1, 0.882)","(1, 0.867)","(1, 0.677)","(0, 0.33799999999999997)","(0, 0.24)","(0, 0.272)","(0, 0.248)","(1, 0.39399999999999996)","(0, 0.298)","(0, 0.257)","(0, 0.6)","(0, 0.349)","(0, 0.67)","(0, 0.34299999999999997)"
3282,NT,n,3,n,0.0,"(0, 0.29100000000000004)","(1, 0.63)","(0, 0.298)","(0, 0.171)","(1, 0.657)","(1, 0.722)","(1, 0.7190000000000001)","(1, 0.7879999999999999)","(1, 0.426)","(0, 0.242)","(0, 0.302)","(0, 0.193)","(0, 0.242)","(0, 0.636)","(0, 0.276)","(1, 0.66)","(1, 0.647)","(0, 0.21600000000000003)","(0, 0.16699999999999998)","(0, 0.21600000000000003)"
3282,NT,n,4,n,1.0,"(1, 0.634)","(1, 0.625)","(1, 0.779)","(1, 0.764)","(0, 0.557)","(1, 0.76)","(0, 0.7)","(1, 0.677)","(1, 0.767)","(0, 0.302)","(1, 0.591)","(0, 0.263)","(1, 0.642)","(1, 0.728)","(1, 0.713)","(1, 0.696)","(0, 0.248)","(1, 0.40700000000000003)","(1, 0.621)","(1, 0.685)"
3282,NT,n,5,n,1.0,"(1, 0.8140000000000001)","(1, 0.677)","(1, 0.6829999999999999)","(1, 0.713)","(1, 0.773)","(0, 0.687)","(0, 0.379)","(0, 0.33399999999999996)","(1, 0.664)","(1, 0.645)","(1, 0.685)","(1, 0.777)","(1, 0.711)","(1, 0.638)","(0, 0.23600000000000002)","(0, 0.212)","(0, 0.16699999999999998)","(0, 0.21)","(0, 0.231)","(0, 0.35100000000000003)"
4179,NT,n,1,n,0.0,"(1, 0.893)","(0, 0.5)","(0, 0.231)","(0, 0.105)","(0, 0.055999999999999994)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(1, 0.064)","(0, 0.051)","(1, 0.165)","(0, 0.099)","(0, 0.024)","(0, 0.0)"
4179,NT,n,2,n,1.0,"(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 1.0)","(0, 0.893)","(0, 0.12)","(0, 0.0)","(1, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)"
4179,NT,n,3,n,0.0,"(0, 0.0)","(1, 0.499)","(0, 0.266)","(0, 0.156)","(1, 0.221)","(1, 0.5)","(1, 0.619)","(1, 0.7559999999999999)","(1, 0.961)","(0, 0.8590000000000001)","(0, 0.465)","(0, 0.33399999999999996)","(0, 0.122)","(0, 0.0)","(0, 0.0)","(1, 0.0)","(1, 0.38799999999999996)","(0, 0.214)","(0, 0.111)","(0, 0.0)"
4179,NT,n,4,n,1.0,"(1, 0.7709999999999999)","(1, 0.9640000000000001)","(1, 1.0)","(1, 1.0)","(0, 1.0)","(1, 1.0)","(0, 0.7240000000000001)","(1, 0.831)","(1, 0.9570000000000001)","(0, 0.7559999999999999)","(1, 0.88)","(0, 0.5820000000000001)","(1, 0.677)","(1, 0.741)","(1, 0.835)","(1, 1.0)","(0, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)"
