ID,Group,Prt_Exclude,Sequence,Seq_Exclude,Bag_Origin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4999,SCZ,n,2,n,0.0,"(0, 0.12)","(0, 0.794)","(1, 0.846)","(1, 0.011000000000000001)","(1, 0.281)","(1, 0.8909999999999999)","(0, 0.818)","(1, 0.22699999999999998)","(1, 0.7240000000000001)","(0, 0.16899999999999998)","(0, 0.22699999999999998)","(1, 0.773)","(0, 0.981)","(1, 0.133)","(1, 0.809)","(1, 0.154)","(0, 0.865)","(1, 0.632)","(1, 0.163)","(0, 0.385)"
4999,SCZ,n,3,n,0.0,"(1, 0.24600000000000002)","(0, 0.912)","(0, 0.064)","(0, 0.081)","(0, 0.8290000000000001)","(0, 0.184)","(0, 0.10300000000000001)","(0, 0.713)","(0, 0.071)","(0, 0.606)","(0, 0.8240000000000001)","(1, 0.15)","(1, 0.737)","(0, 0.191)","(0, 0.214)","(1, 0.7240000000000001)","(1, 0.126)","(1, 0.27)","(1, 0.7040000000000001)","(1, 0.128)"
4999,SCZ,n,4,n,1.0,"(1, 0.799)","(1, 0.27399999999999997)","(1, 0.865)","(0, 0.33799999999999997)","(0, 0.113)","(0, 0.8240000000000001)","(0, 0.743)","(0, 0.141)","(0, 0.722)","(0, 0.7020000000000001)","(0, 0.308)","(0, 0.122)","(0, 0.8440000000000001)","(0, 0.638)","(0, 0.272)","(0, 0.272)","(0, 0.805)","(1, 0.7709999999999999)","(0, 0.7340000000000001)","(0, 0.055999999999999994)"
4999,SCZ,n,5,n,1.0,"(1, 0.8420000000000001)","(0, 0.677)","(1, 0.109)","(1, 0.7170000000000001)","(1, 0.16699999999999998)","(0, 0.182)","(1, 0.797)","(1, 0.27399999999999997)","(1, 0.657)","(0, 0.7040000000000001)","(0, 0.66)","(1, 0.161)","(0, 0.184)","(0, 0.7390000000000001)","(0, 0.223)","(0, 0.679)","(0, 0.27)","(1, 0.6940000000000001)","(0, 0.278)","(0, 0.9359999999999999)"
5033,SCZ,n,1,n,1.0,"(1, 0.636)","(1, 0.7020000000000001)","(0, 0.317)","(1, 0.743)","(1, 0.754)","(1, 0.7490000000000001)","(1, 0.728)","(1, 0.784)","(1, 0.797)","(1, 0.7)","(1, 0.784)","(1, 0.349)","(1, 0.27)","(1, 0.675)","(1, 0.67)","(1, 0.726)","(1, 0.35100000000000003)","(1, 0.722)","(1, 0.6940000000000001)","(1, 0.645)"
5033,SCZ,n,2,n,1.0,"(1, 0.698)","(1, 0.816)","(1, 0.7709999999999999)","(1, 0.773)","(0, 0.287)","(1, 0.7559999999999999)","(1, 0.745)","(1, 0.732)","(1, 0.747)","(1, 0.782)","(1, 0.675)","(1, 0.7040000000000001)","(1, 0.7559999999999999)","(1, 0.73)","(1, 0.741)","(1, 0.792)","(1, 0.747)","(0, 0.0)","(1, 1.0)","(1, 1.0)"
5033,SCZ,n,3,n,1.0,"(1, 1.0)","(1, 1.0)","(0, 0.0)","(1, 1.0)","(0, 0.0)","(1, 1.0)","(0, 0.20800000000000002)","(1, 0.8390000000000001)","(1, 0.85)","(1, 0.861)","(1, 1.0)","(1, 0.805)","(1, 0.784)","(0, 0.015)","(1, 1.0)","(1, 1.0)","(0, 0.034)","(1, 1.0)","(1, 1.0)","(1, 1.0)"
5033,SCZ,n,4,n,0.0,"(0, 0.0)","(0, 0.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.17800000000000002)","(1, 0.914)","(1, 0.912)","(1, 0.861)","(1, 1.0)","(1, 1.0)","(0, 0.027999999999999997)","(1, 0.9640000000000001)","(1, 0.987)"
5033,SCZ,n,5,n,1.0,"(1, 1.0)","(1, 1.0)","(0, 0.057999999999999996)","(1, 0.0)","(1, 0.0)","(1, 0.19899999999999998)","(1, 0.7170000000000001)","(0, 0.161)","(1, 0.8370000000000001)","(1, 0.8370000000000001)","(1, 0.9009999999999999)","(1, 0.084)","(1, 0.113)","(0, 0.10300000000000001)","(1, 0.747)","(1, 0.39399999999999996)","(1, 0.39399999999999996)","(1, 0.764)","(1, 0.794)","(0, 0.0)"
5050,SCZ,n,1,n,1.0,"(1, 0.809)","(1, 0.794)","(0, 0.5)","(0, 0.19699999999999998)","(1, 0.805)","(0, 0.203)","(0, 0.188)","(0, 0.248)","(0, 0.263)","(0, 0.214)","(1, 0.809)","(0, 0.19699999999999998)","(0, 0.20600000000000002)","(0, 0.19699999999999998)","(0, 0.191)","(0, 0.19699999999999998)","(1, 0.799)","(1, 0.8220000000000001)","(0, 0.7859999999999999)","(1, 0.835)"
5050,SCZ,n,2,n,1.0,"(1, 0.794)","(0, 0.19699999999999998)","(1, 0.79)","(0, 0.19899999999999998)","(0, 0.19899999999999998)","(1, 0.79)","(1, 0.792)","(1, 0.792)","(1, 0.7879999999999999)","(1, 0.794)","(1, 0.79)","(1, 0.79)","(0, 0.201)","(0, 0.19699999999999998)","(1, 0.7879999999999999)","(1, 0.7879999999999999)","(0, 0.201)","(0, 0.20600000000000002)","(0, 0.19899999999999998)","(1, 0.7859999999999999)"
5050,SCZ,n,3,n,0.0,"(0, 0.255)","(0, 0.289)","(0, 0.298)","(0, 0.285)","(0, 0.281)","(1, 0.754)","(0, 0.5)","(0, 0.27399999999999997)","(0, 0.293)","(0, 0.306)","(0, 0.3)","(0, 0.298)","(1, 0.306)","(0, 0.655)","(0, 0.5)","(1, 0.113)","(0, 0.171)","(0, 0.146)","(1, 0.846)","(0, 0.29100000000000004)"
5050,SCZ,n,4,n,0.0,"(0, 0.201)","(0, 0.188)","(0, 0.195)","(1, 0.79)","(0, 0.634)","(0, 0.20800000000000002)","(0, 0.20600000000000002)","(0, 0.203)","(0, 0.679)","(1, 0.884)","(0, 0.27)","(1, 0.889)","(0, 0.5479999999999999)","(0, 0.428)","(0, 0.38799999999999996)","(0, 0.7040000000000001)","(0, 0.435)","(1, 0.82)","(1, 0.57)","(1, 0.22699999999999998)"
5050,SCZ,n,5,n,0.0,"(0, 0.203)","(0, 0.728)","(0, 0.469)","(0, 0.5)","(0, 0.5)","(0, 0.5)","(0, 0.5)","(0, 0.5)","(0, 0.5)","(0, 0.5)","(0, 0.505)","(1, 0.5)","(0, 0.5)","(0, 0.5)","(0, 0.5)","(0, 0.5)","(0, 0.5)","(0, 0.5)","(1, 0.5)","(0, 0.5)"
5152,SCZ,n,1,n,1.0,"(1, 0.634)","(1, 0.687)","(1, 0.919)","(0, 0.677)","(0, 0.266)","(0, 0.122)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(1, 0.32299999999999995)","(1, 0.653)","(1, 0.732)","(1, 0.8270000000000001)","(1, 1.0)","(0, 0.615)","(1, 0.6659999999999999)","(1, 0.8420000000000001)","(0, 0.619)","(1, 0.696)"
5152,SCZ,n,2,n,0.0,"(0, 0.366)","(1, 0.5)","(1, 0.687)","(1, 0.807)","(0, 0.627)","(0, 0.5)","(0, 0.33399999999999996)","(0, 0.257)","(0, 0.0)","(0, 0.0)","(0, 0.31)","(1, 0.5)","(0, 0.257)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(1, 0.266)","(1, 0.5)","(0, 0.5)"
5152,SCZ,n,3,n,1.0,"(1, 0.687)","(0, 0.5)","(1, 0.615)","(0, 0.5)","(1, 0.636)","(0, 0.276)","(1, 0.21)","(1, 0.5)","(1, 0.7020000000000001)","(1, 0.777)","(1, 0.818)","(0, 1.0)","(0, 0.5)","(1, 0.698)","(0, 0.203)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(1, 0.5)"
5152,SCZ,n,4,n,1.0,"(1, 0.754)","(1, 1.0)","(1, 1.0)","(0, 0.73)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 0.863)","(0, 0.5)","(1, 0.5)","(0, 0.33399999999999996)","(0, 0.212)","(0, 0.096)","(1, 0.276)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(1, 0.191)","(0, 0.0)"
5152,SCZ,n,5,n,0.0,"(1, 0.8759999999999999)","(0, 0.655)","(0, 0.17300000000000001)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(1, 0.319)","(1, 0.619)","(1, 0.8540000000000001)","(0, 0.5)","(1, 0.737)","(1, 0.809)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)"
